report,justification_de_url,justification_en_url,TA
Dapagliflozin (Erneute Nutzenbewertung § 14: Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-6237/2919-12-19_AM-RL-XII_Dapagliflozin_D-461_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6237/2019-12-19_AM-RL-XII_D-461_Dapagliflozin_TrG_EN.pdf,Stoffwechselkrankheiten
Dapagliflozin (Neues Anwendungsgebiet: Chronische Niereninsuffizienz),https://www.g-ba.de/downloads/40-268-8265/2022-02-17_AM-RL-XII_Dapagliflozin_D-713_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8265/2022-02-17_AM-RL-XII_Dapagliflozin_D-713_TrG_EN.pdf,Krankheiten des Urogenitalsystems
"Dapagliflozin (Neues Anwendungsgebiet: Diabetes mellitus Typ 2, ≥ 10 Jahre)",,,Stoffwechselkrankheiten
Dapagliflozin (Neues Anwendungsgebiet: chronische Herzinsuffizienz),https://www.g-ba.de/downloads/40-268-7552/2021-05-20_AM-RL-XII_Dapagliflozin_D-613_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7552/2021-05-20_AM-RL-XII_Dapagliflozin_D-613_TrG_EN.pdf,Herz-Kreislauf-Erkrankungen
Dapagliflozin [aufgehoben] (neues Anwendungsgebiet: Diabetes mellitus Typ 1),https://www.g-ba.de/downloads/40-268-8356/2022-03-18_AM-RL-XII_Dapagliflozin_D-454_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8356/2022-03-18_AM-RL-XII_Dapagliflozin_D-454_TrG_EN.pdf,Stoffwechselkrankheiten
Dapagliflozin/Metformin (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-5733/2019-03-07_AM-RL-XII_Dapagliflozin-Metformin_D-045_D-097_TrG.pdf,,Stoffwechselkrankheiten
Dapagliflozin/Metformin (Erneute Nutzenbewertung § 14: Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-6238/2019-12-19_AM-RL-XII_Dapagliflozin-Metformin_D-462_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6238/2019-12-19_AM-RL-XII_D-462_Dapagliflozin_Metformin_TrG_EN.pdf,Stoffwechselkrankheiten
Daratumumab,https://www.g-ba.de/downloads/40-268-4071/2016-12-01_AM-RL-XII_Daratumumab_D-238_TrG.pdf,,onkologische Erkrankungen
"Daratumumab (Multiples Myelom, Monotherapie)",https://www.g-ba.de/downloads/40-268-4427/2017-06-15_AM-RL-XII_Daratumumab_D-286_TrG.pdf,,onkologische Erkrankungen
"Daratumumab (Neubewertung nach Fristablauf: Multiples Myelom, nach mind. 1 Vortherapie, Kombination mit Lenalidomid und Dexamethason oder Bortezomib und Dexamethason)",,,onkologische Erkrankungen
"Daratumumab (Neue wissenschaftliche Erkenntnisse (§ 14): (Multiples Myelom, neu diagnostiziert, Patienten für autologe Stammzelltransplantation nicht geeignet, Kombination mit Lenalidomid und Dexamethason)))",https://www.g-ba.de/downloads/40-268-8362/2022-03-18_AM-RL-XII_Daratumumab_D-736_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8362/2022-03-18_AM-RL_XII_Daratumumab_D-736_TrG_EN.pdf,onkologische Erkrankungen
"Daratumumab (Neues Anwendungsgebiet: multiples Myelom, mind. 1 Vortherapie, Kombination mit Pomalidomid und Dexamethason)",https://www.g-ba.de/downloads/40-268-8236/2022-02-03_AM-RL-XII_Daratumumab_D-716_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8236/2022-02-03_AM-RL-XII_Daratumumab_D-716_TrG_EN.pdf,onkologische Erkrankungen
"Daratumumab (Neues Anwendungsgebiet: systemische Leichtketten-Amyloidose, Erstlinie, Kombination mit Cyclophosphamid, Bortezomib und Dexamethason)",https://www.g-ba.de/downloads/40-268-8183/2022-01-20_AM-RL-XII_Daratumumab_D-715_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8183/2022-01-20_AM-RL-XII_Daratumumab_D-715_TrG_EN.pdf,onkologische Erkrankungen
"Daratumumab (neues Anwendungsgebiet: Multiples Myelom, Erstlinie, Stammzelltransplantation ungeeignet, Kombination mit Bortezomib, Melphalan und Prednison)",https://www.g-ba.de/downloads/40-268-8080/2021-12-02_AM-RL_XII_Daratumumab_D-403_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5653/2019-03-22_AM-RL-XII_Daratumumab_D-403_TrG_EN.pdf,onkologische Erkrankungen
"Daratumumab (neues Anwendungsgebiet: Multiples Myelom, neu diagnostiziert, Patienten für autologe Stammzelltransplantation geeignet, Kombination mit Bortezomib, Thalidomid und Dexamethason)",https://www.g-ba.de/downloads/40-268-6794/2020-08-20_AM-RL-XII_Daratumumab_D-522_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6794/2020-08-20_AM-RL-XII_Daratumumab_D-522_TrG_EN.pdf,onkologische Erkrankungen
"Daratumumab (neues Anwendungsgebiet: Multiples Myelom, neu diagnostiziert, Patienten für autologe Stammzelltransplantation nicht geeignet, Kombination mit Lenalidomid und Dexamethason)",https://www.g-ba.de/downloads/40-268-6792/2020-08-20_AM-RL-XII_Daratumumab_D-521_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6792/2020-08-20_AM-RL-XII_Daratumumab_D-521_TrG_EN.pdf,onkologische Erkrankungen
"Daratumumab (Überschreitung 50 Mio € Grenze: Multiples Myelom, Monotherapie; neues Anwendungsgebiet: Multiples Myelom, mind. 1 Vortherapie, Kombination mit Lenalidomid und Dexamethason oder Bortezomib und Dexamethason)",https://www.g-ba.de/downloads/40-268-7594/2021-06-17_AM-RL-XII_Daratumumab_D-310_TrG.pdf,,onkologische Erkrankungen
"Darolutamid (Prostatakarzinom, nicht metastasiert, hohes Metastasenrisiko)",https://www.g-ba.de/downloads/40-268-6934/2020-10-15_AM-RL-XII_Darolutamid_D-543_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6934/2020-10-15_AM-RL-XII_Darolutamid_D-543_TrG_EN.pdf,onkologische Erkrankungen
Darunavir/Cobicistat/Emtricitabin/Tenofoviralafenamid (HIV-Infektion),https://www.g-ba.de/downloads/40-268-5048/2018-06-07_AM-RL-XII_Darunavir-Kombi-Therapiekosten_D-321_TrG.pdf,,Infektionskrankheiten
Darvadstrocel (Anale Fisteln bei Morbus Crohn),https://www.g-ba.de/downloads/40-268-5411/2018-11-22_AM-RL-XII_Darvadstrocel_D-366_TrG.pdf,,Krankheiten des Verdauungssystems
Dasabuvir (Chronische Hepatitis C),https://www.g-ba.de/downloads/40-268-3827/2016-06-16_AM-RL-XII_Dasabuvir_D-152_Aenderung_TrG.pdf,,Infektionskrankheiten
Daunorubicin/Cytarabin (Therapiebedingte akute myeloische Leukämie; Akute myeloische Leukämie mit multilineärer Dysplasie),https://www.g-ba.de/downloads/40-268-5645/2019-03-22_AM-RL-XII_Daunorubicin-Cytarabin_D-382_TrG.pdf,,onkologische Erkrankungen
Decitabin (Akute myeloische Leukämie),https://www.g-ba.de/downloads/40-268-2300/2013-05-02_AM-RL-XII_Decitabin_TrG.pdf,,onkologische Erkrankungen
Delamanid,https://www.g-ba.de/downloads/40-268-2909/2014-04-17_35a_Freistellung-2014-F-00_TrG.pdf,,Infektionskrankheiten
"Delamanid (Aufhebung der Freistellung: Multiresistente pulmonale Tuberkulose, ≥ 10 kg)",https://www.g-ba.de/downloads/40-268-8490/2022-05-05_AM-RL-XII_Delamanid_D-742_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8490/2022-05-05_AM-RL-XII_Delamanid_D-742_TrG_EN.pdf,Infektionskrankheiten
"Denosumab (Osteoporose, Knochenschwund, Knochenmetastasen)",https://www.g-ba.de/downloads/40-268-2779/2014-03-17_35a_EinstellungBestandsmarkt_TrG.pdf,,Krankheiten des Muskel-Skelett-Systems
Dimethylfumarat (Schubförmig remittierende Multiple Sklerose),https://www.g-ba.de/downloads/40-268-3527/2016-01-07_AM-RL-XII_Dimethylfumarat-Aenderung_2014-05-01-D-100_TrG.pdf,,Krankheiten des Nervensystems
Dimethylfumarat (neues Anwendungsgebiet: Plaque-Psoriasis),https://www.g-ba.de/downloads/40-268-4875/2018-03-16_AM-RL-XII_Dimethylfumarat_D-316_TrG.pdf,,Hauterkrankungen
Dinutuximab beta,https://www.g-ba.de/downloads/40-268-4687/2017-10-19_35a_Freistellung_Dinutuximab-beta_F-004_TrG.pdf,,onkologische Erkrankungen
Diroximelfumarat (Schubförmig remittierende Multiple Sklerose),,,Krankheiten des Nervensystems
"Dolutegravir (HIV-Infektion, ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-2911/2014-08-07_AM-RL-XII_Dolutegravir_2014-02-15-D-099_TrG.pdf,,Infektionskrankheiten
"Dolutegravir (Neue wissenschaftliche Erkenntnisse (§ 13): HIV-Infektion, Alter 6 bis < 18 Jahre)",,,Infektionskrankheiten
"Dolutegravir (Neues Anwendungsgebiet: HIV-Infektion, Kinder ≥ 4 Wochen bis < 6 Jahre)",https://www.g-ba.de/downloads/40-268-8357/2022-03-18_AM-RL-XII_Dolutegravir_D-637_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7678/2021-07-15_AM-RL-XII_Dolutegravir_D-637_TrG_EN.pdf,Infektionskrankheiten
"Dolutegravir (neues Anwendungsgebiet: HIV-Infektion,  6 bis < 12 Jahre)",https://www.g-ba.de/downloads/40-268-4554/2017-09-21_AM-RL-XII_Dolutegravir_D-277_TrG.pdf,,Infektionskrankheiten
"Dolutegravir/Abacavir/Lamivudin (HIV-Infektion, ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-3156/2015-03-19_AM-RL-XII_Dolutegravir-Kombi_2014-10-01-D-131_TrG.pdf,,Infektionskrankheiten
"Dolutegravir/Lamivudin (HIV-Infektion, ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-6322/2020-02-06_AM-RL-XII_Dolutegravir-Lamivudin_D-465_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6322/2020-02-06_AM-RL-XII_Dolutegravir-Lamivudin_D-465_TrG_EN.pdf,Infektionskrankheiten
Dolutegravir/Rilpivirin (HIV-Infektion),https://www.g-ba.de/downloads/40-268-5462/2018-12-06_AM-RL-XII_Dolutegravir-Rilpivirin_D-362_TrG.pdf,,Infektionskrankheiten
Doravirin (HIV-Infektion),https://www.g-ba.de/downloads/40-268-5841/2019-07-04_AM-RL-XII_Doravirin_D-421_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5841/2019-07-04_AM-RL-XII_Doravirin_D-421_TrG_EN.pdf,Infektionskrankheiten
"Doravirin (Neues Anwendungsgebiet: HIV-Infektion, 12 bis < 18 Jahre)",,,Infektionskrankheiten
Doravirin/Lamivudin/Tenofovirdisoproxil (HIV-Infektion),https://www.g-ba.de/downloads/40-268-6605/2020-05-26_AM-RL-XII_Doravirin-Lamivudin-Tenofovirdisoproxil_D-422_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5842/2019-07-04_AM-RL-XII_Doravirin_Kombi_D-422_TrG_EN.pdf,Infektionskrankheiten
"Doravirin/Lamivudin/Tenofovirdisoproxil (Neues Anwendungsgebiet: HIV-Infektion, 12 bis < 18 Jahre)",,,Infektionskrankheiten
"Dostarlimab (Endometriumkarzinom, nach vorheriger Platin-basierter Therapie)",https://www.g-ba.de/downloads/40-268-8073/2021-12-02_AM-RL_XII_Dostarlimab_D-699_TrG.pdf,,onkologische Erkrankungen
Dulaglutid (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-6060/2019-10-17_AM-RL-XII_Dulaglutid_%20D-154_TrG.pdf,,Stoffwechselkrankheiten
Dulaglutid (Erneute Nutzenbewertung §13: Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-6732/2020-07-16_AM-RL-XII_Dulaglutid_D-511_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6732/2020-07-16_AM-RL-XII_Dulaglutid_D-511_TrG_EN.pdf,Stoffwechselkrankheiten
Dupilumab (Atopische Dermatitis),https://www.g-ba.de/downloads/40-268-4986/2018-05-17_AM-RL-XII_Dupilumab_D-328_TrG.pdf,,Hauterkrankungen
"Dupilumab (Neues Anwendungsgebiet: Asthma bronchiale, ≥ 6 bis ≤ 11 Jahre)",,,Krankheiten des Atmungssystems
"Dupilumab (neues Anwendungsgebiet: Asthma bronchiale, ≥ 12 Jahre)",https://www.g-ba.de/downloads/40-268-6366/2020-02-20_AM-RL-XII_Dupilumab_nAWG_D-482_TrG.pdf,,Krankheiten des Atmungssystems
"Dupilumab (neues Anwendungsgebiet: Atopische Dermatitis, 12 bis < 18 Jahre)",https://www.g-ba.de/downloads/40-268-6363/2020-02-20_AM-RL-XII_Dupilumab_nAWG_D-483_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6363/2020-02-20_AM-RL-XII_Dupilumab_D-483_TrG_EN.pdf,Hauterkrankungen
"Dupilumab (neues Anwendungsgebiet: Atopische Dermatitis, 6–11 Jahre)",https://www.g-ba.de/downloads/40-268-7655/2021-07-01_AM-RL-XII_Dupilumab_D-621_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7655/2021-07-01_AM-RL-XII_Dupilumab_D-621_TrG_EN.pdf,Hauterkrankungen
Dupilumab (neues Anwendungsgebiet: Chronische Rhinosinusitis mit Nasenpolypen),https://www.g-ba.de/downloads/40-268-6559/2020-05-14_AM-RL-XII_Dupilumab_D-505_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6559/2020-05-14_AM-RL-XII_Dupilumab_D-505_TrG_EN.pdf,Krankheiten des Atmungssystems
"Durvalumab (Neues Anwendungsgebiet: kleinzelliges Lungenkarzinom, Erstlinie, Kombination mit Etoposid und entweder Carboplatin oder Cisplatin)",https://www.g-ba.de/downloads/40-268-7417/2021-04-01_AM-RL-XII_Durvalumab_nAWG_D-589_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7417/2021-04-01_AM-RL-XII_Durvalumab_D-589_TrG_EN.pdf,onkologische Erkrankungen
"Durvalumab (nicht-kleinzelliges Lungenkarzinom, Erhaltungstherapie)",https://www.g-ba.de/downloads/40-268-5681/2019-04-04_AM-RL-XII_Durvalumab_D-402_TrG.pdf,,onkologische Erkrankungen
"Duvelisib (Chronische lymphatische Leukämie, nach ≥ 2 Vortherapien)",,,onkologische Erkrankungen
"Duvelisib (Follikuläres Lymphom, nach ≥ 2 Vortherapien)",,,onkologische Erkrankungen
Edoxaban (Prophylaxe von thromboembolischen Ereignissen),https://www.g-ba.de/downloads/40-268-3548/2016-01-21_AM-RL-XII_Edoxaban_2015-08-01-D-174_TrG.pdf,,Herz-Kreislauf-Erkrankungen
Efmoroctocog alfa (Hämophilie A),https://www.g-ba.de/downloads/40-268-3824/2016-06-16_AM-RL-XII_Efmoroctocog-alfa_D-195_TrG.pdf,,Krankheiten des Blutes und der blutbildenden Organe
Eftrenonacog alfa (Hämophilie B),https://www.g-ba.de/downloads/40-268-4108/2016-12-15_AM-RL-XII_Eftrenonacog-alfa_D-233_TrG.pdf,,Krankheiten des Blutes und der blutbildenden Organe
Elbasvir/Grazoprevir (Chronische Hepatitis C),https://www.g-ba.de/downloads/40-268-4429/2017-06-15_AM-RL-XII_Elbasvir-Grazoprevir_D-268_TrG.pdf,,Infektionskrankheiten
"Elbasvir/Grazoprevir (Neues Anwendungsgebiet: chronische Hepatitis C, 12 bis < 18 Jahren)",https://www.g-ba.de/downloads/40-268-8491/2022-05-05_AM-RL-XII_Elbasvir_Grazoprevir_D-745_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8491/2022-05-05_AM-RL-XII_Elbasvir-Grazoprevir_D-745_TrG_EN.pdf,Infektionskrankheiten
Eliglustat (Sonstige Sphingolipidosen (Gaucher-Krankheit Typ 1)),https://www.g-ba.de/downloads/40-268-3381/2015-10-01_AM-RL-XII_Eliglustat_2015-04-01-D-159_TrG.pdf,,Stoffwechselkrankheiten
Elosulfase alfa,https://www.g-ba.de/downloads/40-268-3008/2014-11-20_AM-RL-XII_Elosulfase%20alfa_2014-06-01-D-114_TrG.pdf,,Stoffwechselkrankheiten
Elosulfase alfa (Erneute Nutzenbewertung § 14: Mukopolysaccharidosen (Typ IVA)),https://www.g-ba.de/downloads/40-268-4871/2018-03-16_AM-RL-XII_Elosulfase%20alfa_D-320_TrG.pdf,,Stoffwechselkrankheiten
"Elotuzumab (Multiples Myelom, mind. 1 Vortherapie, Kombination mit Lenalidomid und Dexamethason)",https://www.g-ba.de/downloads/40-268-4073/2016-12-01_AM-RL-XII_Elotuzumab_D-232_TrG.pdf,,onkologische Erkrankungen
"Elotuzumab (Multiples Myelom, mind. 2 Vortherapien, Kombination mit Pomalidomid und Dexamethason)",https://www.g-ba.de/downloads/40-268-6478/2020-04-02_AM-RL-XII_Elotuzumab_D-490_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6478/2020-04-02_AM-RL-XII_Elotuzumab_D-490_TrG_EN.pdf,onkologische Erkrankungen
"Elotuzumab (Neubewertung nach Fristablauf: Multiples Myelom, mind. 2 Vortherapien, Kombination mit Pomalidomid und Dexamethason)",https://www.g-ba.de/downloads/40-268-8107/2021-12-16_AM-RL-XII_Elotuzumab_D-708_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8107/2021-12-16_AM-RL-XII_Elotuzumab_D-708_TrG_EN.pdf,onkologische Erkrankungen
Elvitegravir/Cobicistat/Emtricitabin/Tenofoviralafenamid (HIV-Infektion),https://www.g-ba.de/downloads/40-268-3828/2016-06-16_AM-RL-XII_Elvitagravir-Cobicistat-Emtricitabin-Tenofoviralafenamid_D-206_TrG.pdf,,Infektionskrankheiten
"Elvitegravir/Cobicistat/Emtricitabin/Tenofoviralafenamid (neues Anwendungsgebiet: HIV-Infektion, 6 bis < 12 Jahre)",https://www.g-ba.de/downloads/40-268-5101/2018-07-05_AM-RL-XII_Elvitegravir-Cobicistat-Emtricitabin-Tenofoviralafenamid_D-334_TrG.pdf,,Infektionskrankheiten
Elvitegravir/Cobicistat/Emtricitabin/Tenofovirdisoproxil (HIV-Infektion),https://www.g-ba.de/downloads/40-268-2585/2013-12-05_AM-RL-XII_Elvi_Cobi_Emtr_Teno_TrG.pdf,,Infektionskrankheiten
"Elvitegravir/Cobicistat/Emtricitabin/Tenofovirdisoproxil (neues Anwendungsgebiet: HIV-Infektion, 12 bis < 18 Jahre)",https://www.g-ba.de/downloads/40-268-4968/2018-05-03_AM-RL-XII_Elvitegravir-Kombi-D-324_TrG.pdf,,Infektionskrankheiten
Emicizumab (Hämophilie A),https://www.g-ba.de/downloads/40-268-6052/2019-10-17_AM-RL-XII_Emicizumab_D-348_Aenderung_Qualitaetsgesicherte-Anwendung_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6052/2019-10-17_AM-RL-XII_Emicizumab_D-348_quality-assured-application_TrG_EN.pdf,Krankheiten des Blutes und der blutbildenden Organe
"Emicizumab (neues Anwendungsgebiet: Hämophilie A, ohne Faktor-VIII-Hemmkörpern)",https://www.g-ba.de/downloads/40-268-5976/2019-09-05_AM-RL-XII_Emicizumab_D-426_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5976/2019-09-05_AM-RL-XII_Emicizumab_D-426_TrG_EN.pdf,Krankheiten des Blutes und der blutbildenden Organe
Empagliflozin,https://www.g-ba.de/downloads/40-268-3100/2015-02-05_AM-RL-XII_Empagliflozin_2014-08-15-D-123_TrG.pdf,,Stoffwechselkrankheiten
Empagliflozin (Erneute Nutzenbewertung: Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-3955/2016-09-01_AM-RL-XII_Empagliflozin_D-214_TrG.pdf,,Stoffwechselkrankheiten
Empagliflozin (Neues Anwendungsgebiet: chronische Herzinsuffizienz mit erhaltener Ejektionsfraktion),,,Herz-Kreislauf-Erkrankungen
Empagliflozin (Neues Anwendungsgebiet: chronische Herzinsuffizienz),https://www.g-ba.de/downloads/40-268-8161/2022-01-06_AM-RL-XII_Empagliflozin_D-704_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8161/2022-01-06_AM-RL-XII_Empagliflozin_D-704_TrG_EN.pdf,Herz-Kreislauf-Erkrankungen
Empagliflozin/Linagliptin (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-6144/2019-11-22_AM-RL-XII_Empagliflozin-Linagliptin_D-457_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6144/2019-11-22_AM-RL-XII_Empagliflozin-Linagliptin_D-457_TrG_EN.pdf,Stoffwechselkrankheiten
Empagliflozin/Metformin (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-3956/2016-09-01_AM-RL-XII_Empagliflozin_Metformin_D-215_TrG.pdf,,Stoffwechselkrankheiten
"Emtricitabin, Rilpivirin, Tenofovirdisoproxil (HIV-Infektion)",https://www.g-ba.de/downloads/40-268-1980/2012-07-05_AM-RL-XII_Emtricitabin-Rilpivirin-Tenofovir_TrG.pdf,,Infektionskrankheiten
"Emtricitabin, Rilpivirin, Tenofovirdisoproxil (neues Anwendungsgebiet: HIV-Infektion, vorbehandelte Patienten)",https://www.g-ba.de/downloads/40-268-2851/2014-06-19_AM-RL-XII_Rilpivirin-Kombi_2014-01-01-D-089_TrG.pdf,,Infektionskrankheiten
Emtricitabin/Rilpivirin/Tenofoviralafenamid (HIV-Infektion),https://www.g-ba.de/downloads/40-268-4142/2017-01-05_AM-RL-XII_Emtricitabin-Rilpivirin-TAF_D-248_TrG.pdf,,Infektionskrankheiten
Emtricitabin/Tenofoviralafenamid (HIV-Infektion),https://www.g-ba.de/downloads/40-268-4043/2016-11-03_AM-RL-XII_Emtricitabin_Tenofoviralafenamid_D-228_TrG.pdf,,Infektionskrankheiten
"Encorafenib (Melanom, BRAF-V600-Mutation, Kombination mit Binimetinib)",https://www.g-ba.de/downloads/40-268-5638/2019-03-22_AM-RL-XII_Encorafenib_D-389_TrG.pdf,,onkologische Erkrankungen
Encorafenib (Neues Anwendungsgebiet: metastasiertes Kolorektalkarzinom (CRC) mit BRAF-V600E-Mutation nach systemischer Vortherapie),https://www.g-ba.de/downloads/40-268-7149/2020-12-17_AM-RL-XII_Encorafenib_D-551_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7149/2020-12-17_AM-RL-XII_Encorafenib_D-551_TrG_EN.pdf,onkologische Erkrankungen
"Enfortumab Vedotin (Urothelkarzinom, vorbehandelt mit Platin-basierter Chemotherapie und PD-(L)1-Inhibitor)",,,onkologische Erkrankungen
"Entrectinib (Nicht-kleinzelliges Lungenkarzinom (NSCLC), ROS1-positiv, fortgeschritten, Erstlinie)",https://www.g-ba.de/downloads/40-268-7323/2021-02-18_AM-RL-XII_Entrectinib_D-558_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7323/2021-02-18_AM-RL-XII_Entrectinib_D-558_TrG_EN.pdf,onkologische Erkrankungen
"Entrectinib (Solide Tumore, Neurotrophe Tyrosin-Rezeptor-Kinase (NTRK)-Genfusion, histologieunabhängig)",https://www.g-ba.de/downloads/40-268-7324/2021-02-18_AM-RL-XII_Entrectinib_D-559_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7324/2021-02-18_AM-EL-XII_Entrectinib_D-559_TrG_EN.pdf,onkologische Erkrankungen
"Enzalutamid (Neubewertung nach Fristablauf: Prostatakarzinom, nicht metastasiert, Hochrisiko)",https://www.g-ba.de/downloads/40-268-7015/2020-11-05_AM-RL-XII_Enzalutamid_D-541_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7015/2020-11-05_AM-RL-XII_Enzalutamid_D-541_TrG_EN.pdf,onkologische Erkrankungen
"Enzalutamid (Neues Anwendungsgebiet: Prostatakarzinom, metastasiert, hormonsensitiv, Kombination mit Androgenentzugstherapie)",https://www.g-ba.de/downloads/40-268-8038/2021-11-19_AM-RL-XII_Enzalutamid_D-691_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8038/2021-11-19_AM-RL-XII_Enzalutamid_D-691_TrG_EN.pdf,onkologische Erkrankungen
"Enzalutamid (Prostatakarzinom, Progredienz während oder nach Docetaxel-haltiger Chemotherapie)",https://www.g-ba.de/downloads/40-268-2695/2014-02-20_AM-RL-XII_Enzalutamid_2013-09-01-D-073_TrG.pdf,,onkologische Erkrankungen
"Enzalutamid (neues Anwendungsgebiet: Prostatakarzinom, nach Androgenentzugstherapie, keine Indikation für Chemotherapie)",https://www.g-ba.de/downloads/40-268-3251/2015-06-18_AM-RL-XII_Enzalutamid_nAWG_2015-01-01-D-146_TrG.pdf,,onkologische Erkrankungen
"Enzalutamid (neues Anwendungsgebiet: Prostatakarzinom, nicht metastasiert, Hochrisiko)",https://www.g-ba.de/downloads/40-268-5744/2019-05-16_AM-RL-XII_Enzalutamid_D-411_TrG.pdf,https://www.g-ba.de/downloads/40-1465-5744/2019-05-16_AM-RL-XII_Enzalutamid_nAWG_D-411_TrG_EN.pdf,onkologische Erkrankungen
"Erdnussprotein als entfettetes Pulver von Arachis hypogaea L., semen (Erdnüsse) (Erdnussallergie, ≥ 4 Jahre)",https://www.g-ba.de/downloads/40-268-8419/2022-04-07_AM-RL-XII_Erdnussprotein_D-666_TrG.pdf,https://www.g-ba.de/downloads/40-1465-8419/2022-04-07_AM-RL-XII_Erdnussprotein_D-666_TrG_EN.pdf,Sonstiges
Erenumab (Migräne-Prophylaxe),https://www.g-ba.de/downloads/40-268-6012/2019-09-19_AM-RL-XII_Erenumab_Aenderung_Patientenzahlen_D-407_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6012/2019-09-19_AM-RL-XII_Erenumab_D-407_TrG_EN.pdf,Krankheiten des Nervensystems
Erenumab (Neue wissenschaftliche Erkenntnisse (§ 14): Migräne-Prophylaxe),https://www.g-ba.de/downloads/40-268-7950/2021-10-21_AM-RL-XII_Erenumab_D-669_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7950/2021-10-21_AM-RL-XII_Erenumab_D-669_TrG_EN.pdf,Krankheiten des Nervensystems
Eribulin,https://www.g-ba.de/downloads/40-268-1925/2012-04-19_AM-RL-XII_Eribulin_TrG.pdf,,onkologische Erkrankungen
"Eribulin (Neubewertung nach Fristablauf: Mammakarzinom, nach mind. 2 Chemotherapien;  neues Anwendungsgebiet: Mammakarzinom, nach mind. 1 Chemotherapie)",https://www.g-ba.de/downloads/40-268-3085/2015-01-22_AM-RL-XII_Eribulin_2014-08-01-D-125_TrG.pdf,,onkologische Erkrankungen
Eribulin (neues Anwendungsgebiet: Liposarkom),https://www.g-ba.de/downloads/40-268-4074/2016-12-01_AM-RL-XII_Eribulin_nAWG_D-234_TrG.pdf,,onkologische Erkrankungen
Ertugliflozin (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-8511/2022-05-19_AM-RL-XII_Ertugliflozin_D-756_TrG.pdf,,Stoffwechselkrankheiten
Ertugliflozin/Sitagliptin (Diabetes mellitus Typ 2),https://www.g-ba.de/downloads/40-268-5858/2019-07-04_AM-RL-XII_Ertugliflozin-Sitagliptin_D-361_TrG.pdf,,Stoffwechselkrankheiten
"Esketamin (Depression, akute Kurzzeitbehandlung, Kombinationstherapie)",https://www.g-ba.de/downloads/40-268-8093/2021-12-07_AM-RL-XII_Esketamin_Aenderung-Therapiekosten_D-659_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7781/2021-08-19_AM-RL-XII_Esketamin_D-659_TrG_EN.pdf,Psychische Erkrankungen
"Esketamin (Depression, therapieresistent, in Kombination mit SSRI oder SNRI)",https://www.g-ba.de/downloads/40-268-8092/2021-12-07_AM-RL-XII_Esketamin_Aenderung-Therapiekosten_D-658_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7780/2021-08-19_AM-RL-XII_Esketamin-TRD_D-658_TrG_EN.pdf,Psychische Erkrankungen
